month,day,depart_airport,arrival_airport,dep_time,arr_time
1,1,EWR,IAH,5,8
1,1,LGA,IAH,5,8
1,1,JFK,MIA,5,8
1,1,JFK,BQN,5,10
1,1,LGA,ATL,6,8
1,1,EWR,ORD,5,7
1,1,EWR,FLL,6,8
1,1,LGA,IAD,6,7
1,1,JFK,MCO,6,8
1,1,LGA,ORD,6,7
1,1,JFK,PBI,6,8
1,1,JFK,TPA,6,8
1,1,JFK,LAX,6,9
1,1,EWR,SFO,6,9
1,1,LGA,DFW,6,9
1,1,JFK,BOS,5,7
1,1,EWR,LAS,6,9
1,1,LGA,FLL,6,8
1,1,LGA,ATL,6,8
1,1,EWR,PBI,6,8
1,1,LGA,MSP,6,8
1,1,LGA,DTW,6,8
1,1,EWR,MIA,6,9
1,1,JFK,ATL,6,8
1,1,EWR,MIA,6,9
1,1,EWR,ORD,6,7
1,1,JFK,SFO,6,9
1,1,JFK,RSW,6,9
1,1,JFK,SJU,6,11
1,1,EWR,ATL,6,8
1,1,EWR,PHX,6,10
1,1,LGA,MIA,6,9
1,1,LGA,IAH,6,9
1,1,EWR,MSP,6,8
1,1,LGA,MSP,6,8
1,1,JFK,PHX,6,10
1,1,JFK,SJU,6,11
1,1,EWR,LAX,6,9
1,1,LGA,ORD,6,8
1,1,LGA,BWI,6,7
1,1,EWR,CLT,6,8
1,1,EWR,IAD,6,7
1,1,LGA,DFW,6,9
1,1,LGA,MCO,6,9
1,1,JFK,BOS,6,7
1,1,EWR,PBI,6,9
1,1,EWR,CLT,6,8
1,1,EWR,FLL,6,9
1,1,JFK,BUF,6,8
1,1,LGA,DEN,6,9
1,1,EWR,SNA,6,10
1,1,JFK,LAS,6,9
1,1,JFK,MSY,6,9
1,1,LGA,PBI,7,10
1,1,JFK,SLC,6,10
1,1,JFK,SFO,7,10
1,1,LGA,MIA,7,10
1,1,LGA,ORD,7,8
1,1,JFK,MCO,6,9
1,1,LGA,XNA,7,9
1,1,EWR,TPA,7,10
1,1,LGA,FLL,7,10
1,1,LGA,ATL,7,9
1,1,JFK,LAX,7,10
1,1,LGA,MIA,7,10
1,1,JFK,FLL,7,10
1,1,LGA,DTW,7,9
1,1,EWR,RSW,7,10
1,1,EWR,SJU,7,11
1,1,JFK,LAX,7,10
1,1,LGA,ORD,7,8
1,1,JFK,SJU,7,12
1,1,JFK,FLL,7,10
1,1,EWR,ORD,7,8
1,1,LGA,MKE,7,8
1,1,JFK,MCO,7,10
1,1,EWR,PBI,7,10
1,1,LGA,DFW,7,10
1,1,EWR,SEA,7,10
1,1,EWR,DFW,7,10
1,1,EWR,DEN,7,9
1,1,LGA,IAH,7,10
1,1,JFK,SFO,7,11
1,1,JFK,ROC,7,8
1,1,LGA,RSW,7,10
1,1,EWR,MCO,6,9
1,1,JFK,SYR,7,8
1,1,JFK,SFO,7,11
1,1,LGA,ORD,7,9
1,1,EWR,IAH,7,10
1,1,LGA,TPA,7,10
1,1,JFK,LAX,7,11
1,1,JFK,SRQ,7,10
1,1,JFK,SEA,7,10
1,1,JFK,SFO,7,11
1,1,EWR,SFO,7,11
1,1,EWR,ORD,7,8
1,1,LGA,MCO,7,10
1,1,LGA,DEN,7,10
1,1,LGA,CLT,7,9
1,1,LGA,MIA,7,11
1,1,LGA,ATL,7,10
1,1,LGA,DEN,7,10
1,1,EWR,MCO,8,10
1,1,JFK,MIA,8,11
1,1,LGA,MSP,8,10
1,1,JFK,RDU,8,9
1,1,EWR,BOS,8,9
1,1,JFK,BOS,8,9
1,1,JFK,SFO,8,11
1,1,JFK,MCO,8,11
1,1,JFK,CLT,8,10
1,1,JFK,FLL,8,11
1,1,LGA,CMH,8,10
1,1,JFK,ATL,8,10
1,1,EWR,JAX,8,10
1,1,JFK,MSP,8,10
1,1,LGA,PBI,8,11
1,1,EWR,CHS,8,10
1,1,LGA,CLT,6,8
1,1,EWR,CLT,8,10
1,1,EWR,MEM,8,10
1,1,LGA,DEN,8,10
1,1,LGA,ATL,8,10
1,1,JFK,PIT,8,9
1,1,JFK,SJU,8,13
1,1,JFK,BOS,8,9
1,1,JFK,SJU,8,13
1,1,JFK,SAN,8,11
1,1,JFK,DCA,8,9
1,1,LGA,CLE,8,10
1,1,JFK,CLT,8,10
1,1,EWR,DFW,8,11
1,1,LGA,STL,8,10
1,1,JFK,JAX,8,11
1,1,JFK,MIA,7,10
1,1,EWR,SFO,8,11
1,1,JFK,ORD,8,10
1,1,EWR,LAX,8,11
1,1,JFK,LAX,8,12
1,1,EWR,MCO,8,11
1,1,LGA,ORD,8,10
1,1,LGA,ATL,8,11
1,1,EWR,MYR,8,10
1,1,LGA,RDU,8,10
1,1,LGA,DEN,8,11
1,1,LGA,DFW,8,11
1,1,LGA,CLE,8,10
1,1,JFK,SJU,8,13
1,1,JFK,DTW,8,11
1,1,EWR,RSW,8,12
1,1,JFK,BWI,18,19
1,1,EWR,JAC,8,11
1,1,EWR,RDU,8,10
1,1,EWR,DTW,8,11
1,1,EWR,SAN,8,12
1,1,EWR,MDW,8,10
1,1,JFK,TPA,8,11
1,1,LGA,ATL,8,11
1,1,JFK,LAX,9,12
1,1,LGA,MIA,9,12
1,1,EWR,PBI,8,12
1,1,JFK,HNL,9,15
1,1,LGA,DTW,9,11
1,1,EWR,ATL,9,11
1,1,EWR,SEA,8,12
1,1,LGA,DTW,9,11
1,1,LGA,MCO,9,12
1,1,JFK,LAX,9,12
1,1,EWR,FLL,9,12
1,1,EWR,ORD,9,10
1,1,LGA,BNA,8,9
1,1,EWR,MIA,9,12
1,1,JFK,AUS,9,12
1,1,EWR,DEN,8,11
1,1,JFK,BTV,9,10
1,1,LGA,PHL,9,10
1,1,EWR,IAH,9,12
1,1,JFK,STT,8,13
1,1,JFK,MIA,9,12
1,1,EWR,MIA,9,12
1,1,EWR,STT,9,14
1,1,EWR,DFW,9,12
1,1,EWR,CLE,9,10
1,1,LGA,DFW,9,12
1,1,JFK,MCO,9,12
1,1,JFK,RDU,9,11
1,1,JFK,IAD,9,10
1,1,LGA,CLT,9,11
1,1,JFK,LAX,9,12
1,1,JFK,BOS,9,10
1,1,EWR,SJU,9,14
1,1,JFK,PBI,9,12
1,1,EWR,EGE,9,12
1,1,LGA,RSW,9,12
1,1,EWR,DCA,9,10
1,1,EWR,DEN,9,11
1,1,EWR,TPA,9,12
1,1,LGA,FLL,9,12
1,1,LGA,ORD,9,11
1,1,JFK,LAS,9,12
1,1,JFK,BUF,9,11
1,1,JFK,FLL,9,12
1,1,LGA,MDW,9,11
1,1,LGA,TPA,9,12
1,1,LGA,SRQ,9,13
1,1,LGA,PBI,9,12
1,1,LGA,MKE,9,11
1,1,LGA,ORD,9,11
1,1,LGA,ATL,9,12
1,1,JFK,LAX,9,12
1,1,EWR,AVL,9,12
1,1,JFK,PWM,9,11
1,1,EWR,STL,9,11
1,1,LGA,BNA,9,11
1,1,EWR,LAX,9,12
1,1,EWR,PHX,10,13
1,1,LGA,ATL,10,12
1,1,EWR,BOS,7,8
1,1,LGA,FLL,10,13
1,1,LGA,CLT,10,12
1,1,EWR,FLL,10,13
1,1,JFK,PHX,9,13
1,1,EWR,DEN,10,12
1,1,EWR,ORD,10,11
1,1,LGA,MSP,10,12
1,1,EWR,CLT,10,12
1,1,JFK,CLT,10,12
1,1,LGA,IAD,10,11
1,1,JFK,LAS,10,13
1,1,LGA,ATL,10,12
1,1,EWR,BUF,10,11
1,1,LGA,RDU,10,12
1,1,LGA,DFW,10,13
1,1,EWR,MCO,9,13
1,1,JFK,LAX,10,13
1,1,LGA,IAH,10,13
1,1,JFK,SFO,10,13
1,1,EWR,CHS,10,12
1,1,JFK,SFO,10,14
1,1,EWR,FLL,10,13
1,1,EWR,IND,10,12
1,1,EWR,BOS,10,11
1,1,LGA,ORD,10,12
1,1,EWR,ORD,10,12
1,1,JFK,MCO,10,13
1,1,EWR,MKE,10,12
1,1,EWR,IAH,10,13
1,1,EWR,RSW,10,13
1,1,LGA,DFW,10,14
1,1,JFK,SLC,10,14
1,1,LGA,DTW,10,12
1,1,LGA,FLL,10,13
1,1,LGA,ATL,10,13
1,1,EWR,PWM,10,12
1,1,LGA,TPA,11,14
1,1,LGA,DCA,11,12
1,1,LGA,BWI,11,12
1,1,JFK,DCA,11,12
1,1,EWR,LAS,10,13
1,1,EWR,PBI,10,13
1,1,LGA,MIA,11,14
1,1,EWR,SFO,10,14
1,1,LGA,CMH,11,13
1,1,LGA,MIA,11,14
1,1,JFK,BTV,11,12
1,1,JFK,SFO,11,14
1,1,LGA,DTW,11,13
1,1,LGA,IAH,9,12
1,1,EWR,SAV,9,12
1,1,LGA,STL,11,13
1,1,LGA,DEN,11,13
1,1,JFK,SFO,11,14
1,1,LGA,RSW,11,14
1,1,LGA,CLT,11,13
1,1,EWR,RDU,11,13
1,1,JFK,LAX,11,14
1,1,EWR,PBI,11,14
1,1,EWR,TPA,11,14
1,1,LGA,ORD,11,13
1,1,LGA,MSP,11,13
1,1,LGA,CLE,11,13
1,1,JFK,RSW,11,14
1,1,JFK,LAX,11,14
1,1,EWR,MIA,11,14
1,1,LGA,PBI,11,14
1,1,EWR,SNA,11,15
1,1,EWR,ATL,11,14
1,1,LGA,CAK,11,13
1,1,EWR,SYR,11,13
1,1,EWR,CMH,11,13
